train_loss,train_soft_loss,epoch,step,val_loss,val_soft_loss
0.30870240926742554,0.30870240926742554,0,15,,
0.574824869632721,0.574824869632721,0,31,,
0.6100698709487915,0.6100698709487915,0,47,,
0.595434308052063,0.595434308052063,0,63,,
0.1374499499797821,0.1374499499797821,0,79,,
0.14168879389762878,0.14168879389762878,0,95,,
0.5730622410774231,0.5730622410774231,0,111,,
0.9654558897018433,0.9654558897018433,0,127,,
,,0,131,0.33359822630882263,0.33359822630882263
0.3425251245498657,0.3425251245498657,1,143,,
