train_loss,train_soft_loss,epoch,step,val_loss,val_soft_loss
0.27420109510421753,0.27420109510421753,0,15,,
0.5830670595169067,0.5830670595169067,0,31,,
0.6160901784896851,0.6160901784896851,0,47,,
0.5973312854766846,0.5973312854766846,0,63,,
0.1376127004623413,0.1376127004623413,0,79,,
0.14275987446308136,0.14275987446308136,0,95,,
0.5723316669464111,0.5723316669464111,0,111,,
0.9706292152404785,0.9706292152404785,0,127,,
,,0,131,0.3465152978897095,0.3465152978897095
0.34368181228637695,0.34368181228637695,1,143,,
0.17871001362800598,0.17871001362800598,1,159,,
0.14161689579486847,0.14161689579486847,1,175,,
0.14698120951652527,0.14698120951652527,1,191,,
0.20461997389793396,0.20461997389793396,1,207,,
0.1687801629304886,0.1687801629304886,1,223,,
0.15298005938529968,0.15298005938529968,1,239,,
0.2066042721271515,0.2066042721271515,1,255,,
,,1,263,0.35238000750541687,0.35238000750541687
